2022-04-26 17:39:23,163 WARN [main] o.s.w.c.s.GenericWebApplicationContext [AbstractApplicationContext.java:591] Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'disscussRepository' defined in com.zhouyin.comunity.dao.DisscussRepository defined in @EnableElasticsearchRepositories declared on ElasticsearchRepositoriesRegistrar.EnableElasticsearchRepositoriesConfiguration: Invocation of init method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [org.springframework.data.elasticsearch.repository.support.SimpleElasticsearchRepository]: Constructor threw exception; nested exception is org.springframework.data.elasticsearch.UncategorizedElasticsearchException: java.util.concurrent.ExecutionException: org.apache.http.ProtocolException: Not a valid protocol version: This is not an HTTP port; nested exception is ElasticsearchException[java.util.concurrent.ExecutionException: org.apache.http.ProtocolException: Not a valid protocol version: This is not an HTTP port]; nested: ExecutionException[org.apache.http.ProtocolException: Not a valid protocol version: This is not an HTTP port]; nested: ProtocolException[Not a valid protocol version: This is not an HTTP port]; nested: ParseException[Not a valid protocol version: This is not an HTTP port];
2022-04-26 17:42:23,174 WARN [main] o.s.w.c.s.GenericWebApplicationContext [AbstractApplicationContext.java:591] Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'disscussRepository' defined in com.zhouyin.comunity.dao.DisscussRepository defined in @EnableElasticsearchRepositories declared on ElasticsearchRepositoriesRegistrar.EnableElasticsearchRepositoriesConfiguration: Invocation of init method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [org.springframework.data.elasticsearch.repository.support.SimpleElasticsearchRepository]: Constructor threw exception; nested exception is org.springframework.data.elasticsearch.UncategorizedElasticsearchException: java.util.concurrent.ExecutionException: org.apache.http.ProtocolException: Not a valid protocol version: This is not an HTTP port; nested exception is ElasticsearchException[java.util.concurrent.ExecutionException: org.apache.http.ProtocolException: Not a valid protocol version: This is not an HTTP port]; nested: ExecutionException[org.apache.http.ProtocolException: Not a valid protocol version: This is not an HTTP port]; nested: ProtocolException[Not a valid protocol version: This is not an HTTP port]; nested: ParseException[Not a valid protocol version: This is not an HTTP port];
2022-04-26 18:11:57,478 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [POST http://127.0.0.1:9200/discusspost/_refresh?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:11:57,500 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [PUT http://127.0.0.1:9200/discusspost/_doc/243?timeout=1m] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:11:57,527 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [POST http://127.0.0.1:9200/discusspost/_refresh?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:19:32,787 WARN [I/O dispatcher 1] o.e.c.RestClient [RequestLogger.java:65] request [GET http://127.0.0.1:9200/] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:19:32,819 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [HEAD http://127.0.0.1:9200/discusspost?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:19:34,814 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [PUT http://127.0.0.1:9200/discusspost/_doc/241?timeout=1m] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:19:34,854 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [POST http://127.0.0.1:9200/discusspost/_refresh?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:19:34,886 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [PUT http://127.0.0.1:9200/discusspost/_doc/242?timeout=1m] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:19:34,920 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [POST http://127.0.0.1:9200/discusspost/_refresh?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:19:34,950 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [PUT http://127.0.0.1:9200/discusspost/_doc/243?timeout=1m] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:19:34,999 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [POST http://127.0.0.1:9200/discusspost/_refresh?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:26:39,931 WARN [I/O dispatcher 1] o.e.c.RestClient [RequestLogger.java:65] request [GET http://127.0.0.1:9200/] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:26:39,988 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [HEAD http://127.0.0.1:9200/discusspost?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:26:56,628 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [PUT http://127.0.0.1:9200/discusspost/_doc/241?timeout=1m] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:26:56,720 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [POST http://127.0.0.1:9200/discusspost/_refresh?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:27:07,636 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [PUT http://127.0.0.1:9200/discusspost/_doc/242?timeout=1m] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:27:54,501 WARN [I/O dispatcher 1] o.e.c.RestClient [RequestLogger.java:65] request [GET http://127.0.0.1:9200/] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:27:54,565 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [HEAD http://127.0.0.1:9200/discusspost?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:28:11,981 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [PUT http://127.0.0.1:9200/discusspost/_doc/241?timeout=1m] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:28:12,073 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [POST http://127.0.0.1:9200/discusspost/_refresh?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:28:40,343 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [PUT http://127.0.0.1:9200/discusspost/_doc/242?timeout=1m] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:28:40,375 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [POST http://127.0.0.1:9200/discusspost/_refresh?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:28:41,077 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [PUT http://127.0.0.1:9200/discusspost/_doc/243?timeout=1m] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:28:41,108 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [POST http://127.0.0.1:9200/discusspost/_refresh?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:36:19,124 WARN [I/O dispatcher 1] o.e.c.RestClient [RequestLogger.java:65] request [GET http://127.0.0.1:9200/] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:36:19,170 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [HEAD http://127.0.0.1:9200/discusspost?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:36:50,086 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [PUT http://127.0.0.1:9200/discusspost/_doc/241?timeout=1m] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:36:50,183 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [POST http://127.0.0.1:9200/discusspost/_refresh?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:37:06,071 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [PUT http://127.0.0.1:9200/discusspost/_doc/242?timeout=1m] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:37:06,099 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [POST http://127.0.0.1:9200/discusspost/_refresh?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:37:07,422 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [PUT http://127.0.0.1:9200/discusspost/_doc/243?timeout=1m] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:37:07,449 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [POST http://127.0.0.1:9200/discusspost/_refresh?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:37:28,429 WARN [I/O dispatcher 1] o.e.c.RestClient [RequestLogger.java:65] request [GET http://127.0.0.1:9200/] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:37:28,466 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [HEAD http://127.0.0.1:9200/discusspost?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:37:30,370 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [PUT http://127.0.0.1:9200/discusspost/_doc/241?timeout=1m] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:37:30,404 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [POST http://127.0.0.1:9200/discusspost/_refresh?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:37:30,454 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [PUT http://127.0.0.1:9200/discusspost/_doc/242?timeout=1m] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:37:30,514 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [POST http://127.0.0.1:9200/discusspost/_refresh?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:37:30,539 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [PUT http://127.0.0.1:9200/discusspost/_doc/243?timeout=1m] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:37:30,588 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [POST http://127.0.0.1:9200/discusspost/_refresh?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
